Gene_ID,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
ENSMUSG00000099503,0,0,0,0,0,0
ENSMUSG00000026156,695.7553,718.0164,825.1308,918.1476,922.37317,1281.9786
ENSMUSG00000026155,865.52045,1399.6158,1623.8201,1806.0203,1739.871,2427.199
ENSMUSG00000026154,584.76733,480.25693,409.25497,773.01215,838.05426,956.5734
ENSMUSG00000102495,1.8696977,2.444598,1.595231,1.7512506,2.321902,0
ENSMUSG00000026153,6225.4365,11314.195,12075.398,7009.5513,9605.349,7459.9575
ENSMUSG00000102398,8,19.68,21.691275,18.595497,12.086799,9.470106
ENSMUSG00000097670,0,0,0,0,0,0
ENSMUSG00000026147,0,0,0,0,0,2
ENSMUSG00000026141,2,20.000002,8.883178,9.119205,14.839999,11.188536
ENSMUSG00000077463,0,0,0,0,0,0
ENSMUSG00000099997,1.3333334,1.3333334,0.6666667,0.6666667,2,3.9999995
ENSMUSG00000100131,96693.78,100704.74,96413.45,75528.52,82858.516,63778.164
ENSMUSG00000067736,17401.035,21560.352,19849.752,15005.603,15730.579,12745.144
ENSMUSG00000101939,31686.02,18517.225,16160.271,16867.715,16392.969,12953.66
ENSMUSG00000101111,266433.84,194593.8,184424.61,146140.38,196933.08,147092.25
ENSMUSG00000100862,275714.7,214449.72,201789.9,163491.95,215083.6,163521.62
ENSMUSG00000102070,283940.34,183933.02,194708.95,168637,191186.39,167454.05
ENSMUSG00000101249,228479.48,171324.61,179795.06,169804.38,210314.19,184059.55
ENSMUSG00000073725,2400.0442,3013.442,3379.0415,5292.5693,5165.844,6850.7886
ENSMUSG00000100808,0,0,0,0,0,0
ENSMUSG00000100483,0,2,5,2,0,0
ENSMUSG00000100450,0,0,2,0,0,0
ENSMUSG00000099392,0,0,0,0,0,0
ENSMUSG00000033569,387.08337,609.7416,569.0455,1633.5685,1324.5411,1452.1304
ENSMUSG00000080849,0,0,1,0,0,0
ENSMUSG00000104257,2,0,0,0,4,2
ENSMUSG00000096866,0,0.61192054,0.821192,0,0,0
ENSMUSG00000102296,5.297351,2,0,0,2,2
ENSMUSG00000103209,8,5.4074078,0,1.0755138,0,8
ENSMUSG00000104027,4,6,0,2,2,1.9200001
ENSMUSG00000102407,4,10,6,0,0,3.7019868
ENSMUSG00000103214,0,4.649007,0,2.7615895,0,4
ENSMUSG00000104100,10.666666,12,31.56667,17,12.4,17.166666
ENSMUSG00000084740,0,0,0,0,0,0
ENSMUSG00000103889,2,2,0,0,0,0
ENSMUSG00000101301,0,0,2,0,0,0
ENSMUSG00000104221,0,1.6821191,4,0,2,0
ENSMUSG00000102250,6,5.402649,8,0,0,0
ENSMUSG00000102317,6,6,10,3,12,8.013245
ENSMUSG00000103563,6,4,8,8,4,4
ENSMUSG00000102465,19,8,10,12,19.087248,12
ENSMUSG00000102659,22,52,61.666664,23.213333,43,32.666664
ENSMUSG00000103924,0,8,4.7027025,2,2,1.3286713
ENSMUSG00000104132,2,2,0.90066224,0,4,10
ENSMUSG00000102747,8,8,4,2,7,10
ENSMUSG00000102386,2,2,6,12,1.76,14
ENSMUSG00000103004,0,0,0,0,0,0
ENSMUSG00000104516,10,10,18,9.524557,18.7947,14.440973
ENSMUSG00000101618,0,0,0,0,0,0
ENSMUSG00000099458,0,0,0,0,0,0
ENSMUSG00000088111,0,0,0,0,0,0
ENSMUSG00000073722,0,0,0,0,0,0
ENSMUSG00000095256,0,0,0,0,0,0
ENSMUSG00000100310,0,0,0,0,0,0
ENSMUSG00000101514,0,0,0,0,0,0
ENSMUSG00000101033,0,0,0,0,0,0
ENSMUSG00000101372,0,0,0,0,0,0
ENSMUSG00000103241,0,0,2,2,0,0
ENSMUSG00000086240,14.666666,12.333332,16.666666,8.666666,9.666666,20
ENSMUSG00000048411,0,0,0,0,0,0
ENSMUSG00000081557,8,18,10,19,12.666666,22
ENSMUSG00000058590,0,0,0,0,0,0
ENSMUSG00000101235,0,0,0,0,0,0
ENSMUSG00000064433,0,0,0,0,0,0
ENSMUSG00000080625,0,0,0,0,0,0
ENSMUSG00000080391,0,0,0,0,0,0
ENSMUSG00000099257,0,0,0,0,0,0
ENSMUSG00000099492,107.333565,100.000175,161.8332,110.50025,127.66705,139.33354
ENSMUSG00000101726,0,0,0,0,0,0
ENSMUSG00000096829,0,0,0,0,0,0
ENSMUSG00000098883,0,0,0,0,0,0
ENSMUSG00000053185,0,0,0,0,0,0
ENSMUSG00000100261,50.184055,50.99996,55.79469,52.127186,42.999973,43.64961
ENSMUSG00000101180,0,0,0,0,0,0
ENSMUSG00000048874,3590.8547,4581.724,5151.9033,7503.6943,6329.7246,8288.597
ENSMUSG00000103783,2,6,10,0,0,2
ENSMUSG00000104315,14.373333,12,18,29,4,6
ENSMUSG00000026064,3578.5735,4203.7153,7627.6436,4083.822,5060.284,5994.601
ENSMUSG00000086151,0,0,0,0,0,0
ENSMUSG00000086726,0,0,0,0,0,0
ENSMUSG00000087346,0,0,0,0,0,0
ENSMUSG00000100371,0,0,0,0,0,2
ENSMUSG00000100237,0,2,0,0,0,0
ENSMUSG00000098529,0,0,0,0,0,0
ENSMUSG00000086727,0,0,0,0,0,0
ENSMUSG00000100910,0,0,0,0,0,0
ENSMUSG00000099796,0,0,0,0,0,0
ENSMUSG00000050217,0,0,0,0,0,0
ENSMUSG00000026063,0,0,0,0,0,0
ENSMUSG00000077664,0,0,0,0,0,0
ENSMUSG00000100205,0,0,0,0,0,0
ENSMUSG00000100592,0,0,0,0,0,0
ENSMUSG00000094215,0,0,0,0,0,0
ENSMUSG00000101093,0,0,0,0,0,0
ENSMUSG00000070960,54,80,69,224,203.5,256.5
ENSMUSG00000088620,0,0,0,0,0,0
ENSMUSG00000082159,0,0,0,0,0,0
ENSMUSG00000026058,60,31.999998,63.999996,60,57.26,72.000015
ENSMUSG00000064688,0,0,0,0,0,0
ENSMUSG00000103482,0,2,0,4,2,4
ENSMUSG00000104498,341.3336,483.86707,530.03394,350.33377,363.6003,373.31735
ENSMUSG00000104313,0,0,0,0,0,0
ENSMUSG00000102865,2,2,6,0,2,0
ENSMUSG00000102321,0,0,4,2,0,0
ENSMUSG00000091318,2,6,12,0,2,6
ENSMUSG00000089489,0,0,0,0,0,0
ENSMUSG00000104433,25,70,49,25.36923,34,33
ENSMUSG00000089395,0,0,0,0,0,0
ENSMUSG00000102926,0,0,2,0,0,0
ENSMUSG00000100497,0,0,0,0,0,0
ENSMUSG00000102917,381.00134,598.59875,682.09735,476.10162,461.23523,463.53473
ENSMUSG00000100481,4,4,6,5,3.6666665,7.666667
ENSMUSG00000100590,0,0,0,0,0,0
ENSMUSG00000088750,0,0,0,0,0,0
ENSMUSG00000104230,0,0,0,0,0,0
ENSMUSG00000101754,0,0,0,0,0,0
ENSMUSG00000065223,0,0,0,0,0,0
ENSMUSG00000100318,0,0,0,0,0,0
ENSMUSG00000101612,2,0,0,0,0,0
ENSMUSG00000065260,0,0,0,0,0,0
ENSMUSG00000026134,217.93712,218.60435,277.01974,340.1986,392.97113,462.4506
ENSMUSG00000101682,2,2.1721854,0,0.26490065,0,0
ENSMUSG00000102714,0,0,0,0,0,2
ENSMUSG00000102093,0,0,0,0.052980132,0,0
ENSMUSG00000103746,37.758183,23.105919,19.543047,30.352968,38.041367,21.08717
